oracion_español,oracion_transformada_lse
El viernes no ordeno la sala.,VIERNES YO SALA ORDENAR NO
Hoy no preparo té.,HOY YO TÉ PREPARAR NO
Ayer no llovió en el pueblo.,PASADO PUEBLO LLOVER NO
Mañana no hago ejercicio.,MAÑANA YO EJERCICIO HACER NO
Cada sábado no salgo.,CADA SÁBADO YO SALIR NO
Hoy no escribo nada.,HOY YO NADA ESCRIBIR NO
Ayer no estudié historia.,PASADO YO HISTORIA ESTUDIAR NO
Mañana no limpio la cocina.,MAÑANA YO COCINA LIMPIAR NO
El miércoles no trabajo.,MIÉRCOLES YO TRABAJAR NO
Hoy no desayuno pan.,HOY YO PAN DESAYUNAR NO
Ayer no vi televisión.,PASADO YO TELEVISIÓN VER NO
Mañana no estudio inglés.,MAÑANA YO INGLÉS ESTUDIAR NO
Cada noche no leo cuentos.,CADA NOCHE YO CUENTOS LEER NO
Hoy no cocino pasta.,HOY YO PASTA COCINAR NO
Ayer no escribí correos.,PASADO YO CORREOS ESCRIBIR NO
Mañana no trabajo.,MAÑANA YO TRABAJAR NO
El domingo no viajo.,DOMINGO YO VIAJAR NO
Cada semana no salgo.,CADA SEMANA YO SALIR NO
Hoy no estudio física.,HOY YO FÍSICA ESTUDIAR NO
Ayer no dormí bien.,PASADO YO BIEN DORMIR NO
Mañana no preparo informes.,MAÑANA YO INFORMES PREPARAR NO
El viernes no trabajo.,VIERNES YO TRABAJAR NO
Hoy no desayuno nada.,HOY YO NADA DESAYUNAR NO
Ayer no cociné arroz.,PASADO YO ARROZ COCINAR NO
Mañana no limpio el coche.,MAÑANA YO COCHE LIMPIAR NO
El sábado no salgo.,SÁBADO YO SALIR NO
Cada día no leo prensa.,CADA DÍA YO PRENSA LEER NO
Hoy no hago deporte.,HOY YO DEPORTE HACER NO
Ayer no cociné nada.,PASADO YO NADA COCINAR NO
No trabajé el sábado.,PASADO SÁBADO YO TRABAJAR NO
Ella no estudió historia.,PASADO ELLA HISTORIA ESTUDIAR NO
Nosotros no fuimos al cine.,PASADO NOSOTROS CINE IR NO
Tú no limpiaste la habitación.,PASADO TÚ HABITACIÓN LIMPIAR NO
Ellos no viajaron a Valencia.,PASADO ELLOS VALENCIA VIAJAR NO
Mi padre no arregló el coche.,PASADO MI PADRE COCHE ARREGLAR NO
El tren no llegó puntual.,PASADO TREN PUNTUAL LLEGAR NO
Yo no dormí bien.,PASADO YO BIEN DORMIR NO
Ella no leyó el libro.,PASADO ELLA LIBRO LEER NO
"Nos levantamos, pero no desayunamos.",PASADO NOSOTROS LEVANTAR PERO DESAYUNAR NO
Ellos no vinieron a clase.,PASADO ELLOS CLASE VENIR NO
Mi madre no preparó sopa.,PASADO MI MADRE SOPA PREPARAR NO
Tú no ayudaste en casa.,PASADO TÚ CASA AYUDAR NO
Yo no escribí la carta.,PASADO YO CARTA ESCRIBIR NO
Ella no cantó en el evento.,PASADO ELLA EVENTO CANTAR NO
Ellos no cocinaron postres.,PASADO ELLOS POSTRES COCINAR NO
Nosotros no visitamos a los abuelos.,PASADO NOSOTROS ABUELOS VISITAR NO
Mi abuela no horneó pan.,PASADO MI ABUELA PAN HORNEAR NO
El perro no ladró.,PASADO PERRO LADRAR NO
Yo no cociné.,PASADO YO COCINAR NO
Ella no llamó a su amiga.,PASADO ELLA AMIGA LLAMAR NO
Ellos no estudiaron juntos.,PASADO ELLOS JUNTOS ESTUDIAR NO
Nosotros no salimos.,NOSOTROS SALIR NO
Tú no fuiste al supermercado.,PASADO SUPERMERCADO TÚ IR NO
Mi padre no trabajó el lunes.,PASADO LUNES MI PADRE TRABAJAR NO
Ella no comió postre.,PASADO ELLA POSTRE COMER NO
Yo no estudié inglés.,PASADO YO INGLÉS ESTUDIAR NO
Ellos no llegaron temprano.,PASADO ELLOS TEMPRANO LLEGAR NO
Nosotros no dormimos bien.,PASADO NOSOTROS BIEN DORMIR NO
El tren no paró.,PASADO TREN PARAR NO
Tú no limpiaste la cocina.,PASADO COCINA TÚ LIMPIAR NO
Ella no vio la película.,PASADO ELLA PELÍCULA VER NO
Yo no cociné nada.,PASADO YO NADA COCINAR NO
Ellos no desayunaron.,PASADO ELLOS DESAYUNAR NO
Nosotros no caminamos.,PASADO NOSOTROS CAMINAR NO
Mi madre no preparó café.,PASADO MI MADRE CAFÉ PREPARAR NO
El perro no jugó.,PASADO PERRO JUGAR NO
Tú no estudiaste mucho.,PASADO TÚ MUCHO ESTUDIAR NO
Ella no escribió.,PASADO ELLA ESCRIBIR NO
Yo no hablé con nadie.,PASADO YO NADIE HABLAR NO
Ellos no practicaron deporte.,PASADO ELLOS DEPORTE PRACTICAR NO
Nosotros no comimos pan.,PASADO NOSOTROS PAN COMER NO
El gato no durmió.,PASADO GATO DORMIR NO
Tú no ayudaste.,PASADO TÚ AYUDAR NO
Ella no bailó.,PASADO ELLA BAILAR NO
Yo no leí nada.,PASADO YO NADA LEER NO
Mañana no trabajaré.,FUTURO MAÑANA YO TRABAJAR NO
Ella no cocinará arroz.,FUTURO ELLA ARROZ COCINAR NO
Nosotros no viajaremos.,FUTURO NOSOTROS VIAJAR NO
Tú no estudiarás hoy.,FUTURO HOY TÚ ESTUDIAR NO
Ellos no vendrán mañana.,FUTURO MAÑANA ELLOS VENIR NO
Mi padre no arreglará el coche.,FUTURO MI PADRE COCHE ARREGLAR NO
Yo no escribiré correos.,FUTURO YO CORREOS ESCRIBIR NO
El tren no saldrá temprano.,FUTURO TREN TEMPRANO SALIR NO
Ella no cantará en el teatro.,FUTURO TEATRO ELLA CANTAR NO
"Nos veremos, pero no hablaremos.",FUTURO NOSOTROS VER PERO NOSOTROS HABLAR NO
Tú no limpiarás la casa.,FUTURO CASA TÚ LIMPIAR NO
Ellos no cocinarán juntos.,FUTURO ELLOS JUNTOS COCINAR NO
Yo no leeré el libro.,FUTURO YO LIBRO LEER NO
Mi madre no preparará sopa.,FUTURO MI MADRE SOPA PREPARAR NO
Mañana no habrá clase.,FUTURO MAÑANA CLASE NO HAY
Ella no bailará mañana.,FUTURO MAÑANA ELLA BAILAR NO
"Nos encontraremos, pero no almorzaremos.",FUTURO NOSOTROS ENCONTRAR PERO NOSOTROS ALMORZAR NO
Tú no estudiarás francés.,FUTURO TÚ FRANCÉS ESTUDIAR NO
Ellos no llegarán tarde.,FUTURO ELLOS TARDE LLEGAR NO
Yo no cocinaré pasta.,FUTURO YO PASTA COCINAR NO
Mi padre no trabajará el viernes.,FUTURO VIERNES MI PADRE TRABAJAR NO
Ella no leerá novelas.,FUTURO ELLA NOVELAS LEER NO
"Nos reiremos, pero no mucho.",FUTURO NOSOTROS REÍR PERO NOSOTROS MUCHO NO
Mañana no lloverá.,FUTURO MAÑANA LLOVER NO
Tú no saldrás.,FUTURO TÚ SALIR NO
Ellos no viajarán lejos.,FUTURO ELLOS LEJOS VIAJAR NO
Yo no estudiaré biología.,FUTURO YO BIOLOGÍA ESTUDIAR NO
Ella no cocinará postres.,FUTURO ELLA POSTRES COCINAR NO
Nosotros no iremos al mercado.,FUTURO NOSOTROS MERCADO IR NO
Tú no limpiarás el coche.,FUTURO TÚ COCHE LIMPIAR NO
Ellos no desayunarán aquí.,FUTURO ELLOS AQUÍ DESAYUNAR NO
Yo no dormiré temprano.,FUTURO YO TEMPRANO DORMIR NO
Mi madre no cocinará arroz.,FUTURO MI MADRE ARROZ COCINAR NO
Ella no preparará café.,FUTURO ELLA CAFÉ PREPARAR NO
Nosotros no hablaremos mucho.,FUTURO NOSOTROS MUCHO HABLAR NO
Tú no correrás mañana.,FUTURO MAÑANA TÚ CORRER NO
Ellos no comerán pan.,FUTURO ELLOS PAN COMER NO
Yo no leeré nada.,FUTURO YO NADA LEER NO
Ella no visitará a su familia.,FUTURO ELLA FAMILIA SU VISITAR NO
Nosotros no cocinaremos.,FUTURO NOSOTROS COCINAR NO
Tú no escribirás correos.,FUTURO TÚ CORREOS ESCRIBIR NO
Ellos no llegarán pronto.,FUTURO ELLOS PRONTO LLEGAR NO
Yo no prepararé nada.,FUTURO YO NADA PREPARAR NO
Ella no estudiará.,FUTURO ELLA ESTUDIAR NO
Nosotros no viajaremos a Córdoba.,FUTURO NOSOTROS CÓRDOBA VIAJAR NO
Tú no ayudarás.,FUTURO TÚ AYUDAR NO
Ellos no trabajarán el sábado.,FUTURO SÁBADO ELLOS TRABAJAR NO
Yo no cocino con mantequilla.,YO MANTEQUILLA COCINAR NO
Tú no estudias suficiente.,TÚ SUFICIENTE ESTUDIAR NO
Ella no duerme bien últimamente.,ELLA ÚLTIMAMENTE BIEN DORMIR NO
Nosotros no salimos mucho.,NOSOTROS MUCHO SALIR NO
Ellos no viven en ese barrio.,ELLOS BARRIO ESE VIVIR NO
Mi madre no canta en público.,MI MADRE PÚBLICO CANTAR NO
El perro no juega con la pelota.,PERRO PELOTA JUGAR NO
El tren no llega puntual hoy.,HOY TREN PUNTUAL LLEGAR NO
Yo no leo novelas románticas.,YO NOVELAS ROMÁNTICAS LEER NO
Tú no miras televisión.,TÚ TELEVISIÓN MIRAR NO
Ella no desayuna pan.,ELLA PAN DESAYUNAR NO
"Nos levantamos, pero no comemos.",NOSOTROS LEVANTAR PERO COMER NO
Ellos no usan abrigo en invierno.,ELLOS INVIERNO ABRIGO USAR NO
Mi padre no fuma cigarrillos.,MI PADRE CIGARRILLOS FUMAR NO
El gato no bebe agua del grifo.,GATO GRIFO AGUA BEBER NO
Tú no ayudas en casa.,TÚ CASA AYUDAR NO
Yo no corro los lunes.,LUNES YO CORRER NO
Ella no sonríe como antes.,ELLA ANTES COMO SONREÍR NO
Ellos no hablan de sus planes.,ELLOS PLANES SUS HABLAR NO
Nosotros no vamos al gimnasio.,NOSOTROS GIMNASIO IR NO
El coche no arranca fácilmente.,COCHE FÁCILMENTE ARRANCAR NO
Tú no escuchas mis consejos.,TÚ CONSEJOS MÍOS ESCUCHAR NO
Yo no escribo mensajes largos.,YO MENSAJES LARGOS ESCRIBIR NO
Ella no cocina postres.,ELLA POSTRES COCINAR NO
Ellos no estudian química.,ELLOS QUÍMICA ESTUDIAR NO
Nosotros no compramos dulces.,NOSOTROS DULCES COMPRAR NO
Mi madre no usa ordenador.,MI MADRE ORDENADOR USAR NO
El viento no sopla fuerte hoy.,HOY VIENTO FUERTE SOPLAR NO
Tú no caminas rápido.,TÚ RÁPIDO CAMINAR NO
Yo no tengo sueño.,YO SUEÑO NO HAY
Ella no juega al voleibol.,ELLA VOLEIBOL NO JUGAR
Ellos no entienden nada.,ELLOS NADA NO ENTENDER
Nosotros no dormimos bien.,NOSOTROS BIEN NO DORMIR
El tren no pasa por este pueblo.,TREN PUEBLO ESTE NO PASAR
Tú no vienes los sábados.,SÁBADOS TÚ NO VENIR
Yo no trabajo desde casa.,YO CASA NO TRABAJAR
Ella no lee poesía.,ELLA POESÍA NO LEER
Ellos no usan uniforme.,ELLOS UNIFORME NO USAR
Nosotros no comemos carne.,NOSOTROS CARNE NO COMER
Mi padre no conduce de noche.,NOCHE MI PADRE NO CONDUCIR
Tú no limpias el coche.,COCHE TÚ NO LIMPIAR
Yo no cocino con ajo.,YO AJO NO COCINAR
Ella no bebe leche.,ELLA LECHE NO BEBER
Ellos no ven películas.,ELLOS PELÍCULAS NO VER
Nosotros no estudiamos inglés.,NOSOTROS INGLÉS NO ESTUDIAR
El gato no sube al sofá.,GATO SOFÁ NO SUBIR
Tú no hablas con tus amigos.,AMIGOS TUS TÚ NO HABLAR
Yo no miro las noticias.,YO NOTICIAS NO MIRAR
Ella no canta en la ducha.,ELLA DUCHA NO CANTAR
Ellos no estudian literatura.,ELLOS LITERATURA NO ESTUDIAR
Nosotros no vamos al cine.,NOSOTROS CINE NO IR
Mi madre no compra pasteles.,MI MADRE PASTELES NO COMPRAR
El perro no duerme dentro.,PERRO DENTRO NO DORMIR
Tú no trabajas los viernes.,VIERNES TÚ NO TRABAJAR
Yo no leo periódicos.,YO PERIÓDICOS NO LEER
Ella no prepara desayuno.,ELLA DESAYUNO NO PREPARAR
Ellos no salen mucho de casa.,ELLOS CASA MUCHO NO SALIR
Nosotros no limpiamos el baño.,NOSOTROS BAÑO NO LIMPIAR
El viento no se mueve.,VIENTO NO MOVER
Tú no cocinas bien.,TÚ BIEN NO COCINAR
Yo no escribo cartas.,YO CARTAS NO ESCRIBIR
Ella no trabaja en esa empresa.,ELLA EMPRESA ESA NO TRABAJAR
Ellos no desayunan temprano.,ELLOS TEMPRANO NO DESAYUNAR
Nosotros no caminamos por el parque.,NOSOTROS PARQUE NO CAMINAR
Mi padre no escucha música.,MI PADRE MÚSICA NO ESCUCHAR
Tú no estudias francés.,TÚ FRANCÉS NO ESTUDIAR
Yo no preparo té.,YO TÉ NO PREPARAR
Ella no ve las estrellas.,ELLA ESTRELLAS NO VER
Ellos no usan paraguas.,ELLOS PARAGUAS NO USAR
Nosotros no vivimos cerca.,NOSOTROS CERCA NO VIVIR
El tren no llega temprano.,TREN TEMPRANO NO LLEGAR
Tú no ayudas a tu hermano.,HERMANO TU TÚ NO AYUDAR
Yo no limpio el escritorio.,YO ESCRITORIO NO LIMPIAR
Ella no toca guitarra.,ELLA GUITARRA NO TOCAR
Ellos no cocinan juntos.,ELLOS JUNTOS NO COCINAR
Nosotros no reímos tanto.,NOSOTROS TANTO NO REÍR
Mi madre no plancha ropa.,MI MADRE ROPA NO PLANCHAR
El perro no muerde.,PERRO NO MORDER
Tú no lees cómics.,TÚ CÓMICS NO LEER
Yo no escucho la radio.,YO RADIO ESCUCHAR NO
Ella no estudia biología.,ELLA BIOLOGÍA ESTUDIAR NO
Ellos no llegan tarde.,ELLOS LLEGAR TARDE NO
Nosotros no hablamos italiano.,NOSOTROS ITALIANO HABLAR NO
Mi padre no trabaja los domingos.,DOMINGOS MI PADRE TRABAJAR NO
Tú no cocinas arroz.,TÚ ARROZ COCINAR NO
Yo no leo cuentos.,YO CUENTOS LEER NO
Ella no enseña física.,ELLA FÍSICA ENSEÑAR NO
Ellos no viven aquí.,ELLOS AQUÍ VIVIR NO
Nosotros no tenemos televisor.,NOSOTROS TELEVISOR NO HAY
El gato no juega hoy.,HOY GATO JUGAR NO
Tú no dibujas flores.,TÚ FLORES DIBUJAR NO
Yo no preparo café.,YO CAFÉ PREPARAR NO
Ella no canta bien.,ELLA BIEN CANTAR NO
Ellos no entienden inglés.,ELLOS INGLÉS ENTENDER NO
Nosotros no comemos pan.,NOSOTROS PAN COMER NO
El tren no pasa los lunes.,LUNES TREN PASAR NO
Tú no viajas mucho.,TÚ MUCHO VIAJAR NO
Yo no escribo poesía.,YO POESÍA ESCRIBIR NO
Ella no corre rápido.,ELLA RÁPIDO CORRER NO
Ellos no limpian la cocina.,ELLOS COCINA LIMPIAR NO
Nosotros no abrimos por la tarde.,NOSOTROS TARDE ABRIR NO
Mi padre no compra frutas.,MI PADRE FRUTAS COMPRAR NO
El perro no duerme adentro.,PERRO ADENTRO DORMIR NO
Tú no ves televisión.,TÚ TELEVISIÓN VER NO
Yo no estudio inglés.,YO INGLÉS ESTUDIAR NO
Ella no cocina bien.,ELLA BIEN COCINAR NO
Ellos no viven cerca.,ELLOS CERCA VIVIR NO
Nosotros no estudiamos hoy.,HOY NOSOTROS ESTUDIAR NO
Mi madre no mira películas.,MI MADRE PELÍCULAS MIRAR NO
El gato no come pescado.,GATO PESCADO COMER NO
Tú no ayudas en la cocina.,TÚ COCINA AYUDAR NO
Yo no leo libros largos.,YO LIBROS LARGOS LEER NO
Ella no camina sola.,ELLA SOLA CAMINAR NO
Ellos no van a misa.,ELLOS MISA IR NO
Nosotros no usamos paraguas.,NOSOTROS PARAGUAS USAR NO
Mi padre no come carne.,MI PADRE CARNE COMER NO
El tren no llega temprano.,TREN TEMPRANO LLEGAR NO
Tú no hablas mucho.,TÚ MUCHO HABLAR NO
Yo no preparo postres.,YO POSTRES PREPARAR NO
Ella no enseña biología.,ELLA BIOLOGÍA ENSEÑAR NO
Ellos no corren rápido.,ELLOS RÁPIDO CORRER NO
Nosotros no dormimos la siesta.,NOSOTROS SIESTA DORMIR NO
El perro no juega afuera.,PERRO AFUERA JUGAR NO
Tú no conduces por la autopista.,TÚ AUTOPISTA CONDUCIR NO
Yo no miro televisión.,YO TELEVISIÓN MIRAR NO
Ella no canta canciones.,ELLA CANCIONES CANTAR NO
Ellos no leen revistas.,ELLOS REVISTAS LEER NO
Hoy no estudio.,HOY YO ESTUDIAR NO
Ayer no cociné nada.,PASADO AYER YO NADA COCINAR NO
Mañana no trabajo.,FUTURO MAÑANA YO TRABAJAR NO
El lunes no tenemos clase.,FUTURO LUNES NOSOTROS CLASE NO HAY
Esta semana no voy al gimnasio.,FUTURO SEMANA ESTA YO GIMNASIO IR NO
Cada domingo no abro la tienda.,CADA DOMINGO YO TIENDA ABRIR NO
Hoy no cocino arroz.,HOY YO ARROZ COCINAR NO
Ayer no vi a Luis.,PASADO AYER YO LUIS VER NO
Mañana no limpio el baño.,FUTURO MAÑANA YO BAÑO LIMPIAR NO
El martes no salgo de casa.,FUTURO MARTES YO CASA SALIR NO
Hoy no leo el periódico.,HOY YO PERIÓDICO LEER NO
Ayer no comí carne.,PASADO AYER YO CARNE COMER NO
Mañana no estudio inglés.,FUTURO MAÑANA YO INGLÉS ESTUDIAR NO
El jueves no trabajo.,FUTURO JUEVES YO TRABAJAR NO
Cada tarde no tomo café.,CADA TARDE YO CAFÉ TOMAR NO
Hoy no hace calor.,HOY CALOR HACER NO
Ayer no cociné.,PASADO AYER YO COCINAR NO
Mañana no voy al mercado.,FUTURO MAÑANA YO MERCADO IR NO
El viernes no estudio.,FUTURO VIERNES YO ESTUDIAR NO
Cada noche no veo televisión.,CADA NOCHE YO TELEVISIÓN VER NO
Hoy no desayuno.,HOY YO DESAYUNAR NO
Ayer no dormí bien.,PASADO AYER YO DORMIR BIEN NO
Mañana no limpio la casa.,FUTURO MAÑANA YO CASA LIMPIAR NO
El sábado no viajo.,FUTURO SÁBADO YO VIAJAR NO
Cada día no uso transporte.,CADA DÍA YO TRANSPORTE USAR NO
Hoy no escribo mensajes.,HOY YO MENSAJES ESCRIBIR NO
Ayer no estudié nada.,PASADO AYER YO NADA ESTUDIAR NO
Mañana no preparo la cena.,FUTURO MAÑANA YO CENA PREPARAR NO
El domingo no abrimos.,FUTURO DOMINGO NOSOTROS ABRIR NO
Cada mañana no desayuno pan.,CADA MAÑANA YO PAN DESAYUNAR NO
Hoy no arreglo la lámpara.,HOY YO LÁMPARA ARREGLAR NO
Ayer no descansé.,PASADO AYER YO DESCANSAR NO
Mañana no hago ejercicio.,FUTURO MAÑANA YO EJERCICIO HACER NO
El miércoles no tengo reunión.,FUTURO MIÉRCOLES YO REUNIÓN NO HAY
Cada sábado no paseo.,CADA SÁBADO YO PASEAR NO
Hoy no cocino sopa.,HOY YO SOPA COCINAR NO
Ayer no salí de casa.,PASADO AYER YO CASA SALIR NO
Mañana no estudio matemáticas.,FUTURO MAÑANA YO MATEMÁTICAS ESTUDIAR NO
El jueves no trabajamos.,FUTURO JUEVES NOSOTROS TRABAJAR NO
Cada noche no leo cuentos.,CADA NOCHE YO CUENTOS LEER NO
Hoy no escribo correos.,HOY YO CORREOS ESCRIBIR NO
Ayer no estudié química.,PASADO AYER YO QUÍMICA ESTUDIAR NO
Mañana no limpio la cocina.,FUTURO MAÑANA YO COCINA LIMPIAR NO
El martes no trabajo.,FUTURO MARTES YO TRABAJAR NO
Cada mañana no desayuno fruta.,CADA MAÑANA YO FRUTA DESAYUNAR NO
Hoy no veo televisión.,HOY YO TELEVISIÓN VER NO
Ayer no fui al cine.,PASADO AYER YO CINE IR NO
Mañana no leo poesía.,FUTURO MAÑANA YO POESÍA LEER NO
El domingo no como fuera.,FUTURO DOMINGO YO FUERA COMER NO
Esta noche no ceno.,FUTURO NOCHE ESTA YO CENAR NO
Hoy no preparo comida.,HOY YO COMIDA PREPARAR NO
Ayer no hice deporte.,PASADO AYER YO DEPORTE HACER NO
Mañana no cocino postres.,MAÑANA YO POSTRES COCINAR NO
El viernes no conduzco.,VIERNES YO CONDUCIR NO
Cada tarde no paseo.,CADA TARDE YO PASEAR NO
Hoy no estudio nada.,HOY YO NADA ESTUDIAR NO
Ayer no salí.,PASADO AYER YO SALIR NO
Mañana no viajo.,MAÑANA YO VIAJAR NO
El miércoles no estudio.,MIÉRCOLES YO ESTUDIAR NO
Cada domingo no cocino.,CADA DOMINGO YO COCINAR NO
Hoy no leo cuentos.,HOY YO CUENTOS LEER NO
Ayer no visité a mis padres.,PASADO AYER YO PADRES MÍOS VISITAR NO
Mañana no canto en el coro.,MAÑANA YO CORO CANTAR NO
El viernes no ordeno.,VIERNES YO ORDENAR NO
Hoy no preparo té.,HOY YO TÉ PREPARAR NO
Ayer no llovió en la ciudad.,PASADO AYER CIUDAD LLOVER NO
Mañana no hago deporte.,MAÑANA YO DEPORTE HACER NO
Cada sábado no salgo.,CADA SÁBADO YO SALIR NO
Hoy no escribo nada.,HOY YO NADA ESCRIBIR NO
Ayer no estudié historia.,PASADO AYER YO HISTORIA ESTUDIAR NO
Mañana no limpio la cocina.,MAÑANA YO COCINA LIMPIAR NO
El miércoles no trabajo.,MIÉRCOLES YO TRABAJAR NO
Hoy no desayuno pan.,HOY YO PAN DESAYUNAR NO
Ayer no vi televisión.,PASADO AYER YO TELEVISIÓN VER NO
Mañana no estudio inglés.,MAÑANA YO INGLÉS ESTUDIAR NO
Cada noche no leo novelas.,CADA NOCHE YO NOVELAS LEER NO
Hoy no cocino pasta.,HOY YO PASTA COCINAR NO
Ayer no escribí correos.,PASADO AYER YO CORREOS ESCRIBIR NO
Mañana no trabajo.,MAÑANA YO TRABAJAR NO
El domingo no viajo.,DOMINGO YO VIAJAR NO
Cada semana no salgo.,CADA SEMANA YO SALIR NO
Hoy no estudio biología.,HOY YO BIOLOGÍA ESTUDIAR NO
Ayer no dormí mucho.,PASADO AYER YO MUCHO DORMIR NO
Mañana no preparo informes.,MAÑANA YO INFORMES PREPARAR NO
El viernes no trabajo.,VIERNES YO TRABAJAR NO
Hoy no desayuno nada.,HOY YO NADA DESAYUNAR NO
Ayer no cociné arroz.,PASADO AYER YO ARROZ COCINAR NO
Mañana no limpio el coche.,MAÑANA YO COCHE LIMPIAR NO
El sábado no salgo.,SÁBADO YO SALIR NO
Cada día no leo noticias.,CADA DÍA YO NOTICIAS LEER NO
Hoy no hago deporte.,HOY YO DEPORTE HACER NO
Ayer no cociné nada.,PASADO AYER YO NADA COCINAR NO
No trabajé el sábado.,PASADO SÁBADO YO TRABAJAR NO
Ella no estudió historia.,PASADO ELLA HISTORIA ESTUDIAR NO
Nosotros no fuimos al parque.,PASADO NOSOTROS PARQUE IR NO
Tú no limpiaste el baño.,PASADO TÚ BAÑO LIMPIAR NO
Ellos no viajaron a Granada.,PASADO ELLOS GRANADA VIAJAR NO
Mi padre no arregló el coche.,PASADO PADRE MÍO COCHE ARREGLAR NO
El tren no llegó temprano.,PASADO TREN TEMPRANO LLEGAR NO
Yo no dormí bien.,PASADO YO BIEN DORMIR NO
Ella no leyó el libro.,PASADO ELLA LIBRO LEER NO
"Nos levantamos, pero no desayunamos.",PASADO NOSOTROS LEVANTAR PERO DESAYUNAR NO
Ellos no vinieron.,PASADO ELLOS VENIR NO
Mi madre no preparó sopa.,PASADO MI MADRE SOPA PREPARAR NO
Tú no ayudaste en casa.,PASADO CASA TÚ AYUDAR NO
Yo no escribí la carta.,PASADO YO CARTA ESCRIBIR NO
Ella no cantó.,PASADO ELLA CANTAR NO
Ellos no cocinaron.,PASADO ELLOS COCINAR NO
Nosotros no visitamos a los abuelos.,PASADO NOSOTROS ABUELOS VISITAR NO
Mi abuela no horneó pan.,PASADO MI ABUELA PAN HORNEAR NO
El perro no ladró.,PASADO PERRO LADRAR NO
Yo no cociné.,PASADO YO COCINAR NO
Ella no llamó.,PASADO ELLA LLAMAR NO
Ellos no estudiaron juntos.,PASADO ELLOS JUNTOS ESTUDIAR NO
Nosotros no salimos.,PASADO NOSOTROS SALIR NO
Tú no fuiste al supermercado.,PASADO SUPERMERCADO TÚ IR NO
Mi padre no trabajó el lunes.,PASADO LUNES MI PADRE TRABAJAR NO
Ella no comió postre.,PASADO ELLA POSTRE COMER NO
Yo no estudié matemáticas.,PASADO YO MATEMÁTICAS ESTUDIAR NO
Ellos no llegaron temprano.,PASADO ELLOS TEMPRANO LLEGAR NO
Nosotros no dormimos bien.,PASADO NOSOTROS BIEN DORMIR NO
El tren no paró.,PASADO TREN PARAR NO
Tú no limpiaste la cocina.,PASADO COCINA TÚ LIMPIAR NO
Ella no vio la película.,PASADO ELLA PELÍCULA VER NO
Yo no cociné nada.,PASADO YO NADA COCINAR NO
Ellos no desayunaron.,PASADO ELLOS DESAYUNAR NO
Nosotros no caminamos.,PASADO NOSOTROS CAMINAR NO
Mi madre no preparó café.,PASADO MI MADRE CAFÉ PREPARAR NO
El perro no jugó.,PASADO PERRO JUGAR NO
Tú no estudiaste mucho.,PASADO TÚ MUCHO ESTUDIAR NO
Ella no escribió.,PASADO ELLA ESCRIBIR NO
Yo no hablé.,PASADO YO HABLAR NO
Ellos no practicaron deporte.,PASADO ELLOS DEPORTE PRACTICAR NO
Nosotros no comimos pan.,PASADO NOSOTROS PAN COMER NO
El gato no durmió.,PASADO GATO DORMIR NO
Tú no ayudaste.,PASADO TÚ AYUDAR NO
Ella no bailó.,PASADO ELLA BAILAR NO
Yo no leí nada.,PASADO YO NADA LEER NO
Mañana no trabajaré.,MAÑANA YO TRABAJAR NO
Ella no cocinará arroz.,FUTURO ELLA ARROZ COCINAR NO
Nosotros no viajaremos.,FUTURO NOSOTROS VIAJAR NO
Tú no estudiarás.,FUTURO TÚ ESTUDIAR NO
Ellos no vendrán.,FUTURO ELLOS VENIR NO
Mi padre no arreglará el coche.,FUTURO MI PADRE COCHE ARREGLAR NO
Yo no escribiré correos.,FUTURO YO CORREOS ESCRIBIR NO
El tren no saldrá temprano.,FUTURO TREN TEMPRANO SALIR NO
Ella no cantará mañana.,MAÑANA ELLA CANTAR NO
"Nos veremos, pero no hablaremos.",NOSOTROS VER PERO NOSOTROS HABLAR NO
Tú no limpiarás la casa.,FUTURO TÚ CASA LIMPIAR NO
Ellos no cocinarán juntos.,FUTURO ELLOS JUNTOS COCINAR NO
Yo no leeré el libro.,FUTURO YO LIBRO LEER NO
Mi madre no preparará sopa.,FUTURO MI MADRE SOPA PREPARAR NO
Mañana no habrá clase.,MAÑANA CLASE NO HAY
Ella no bailará en la fiesta.,FUTURO ELLA FIESTA BAILAR NO
"Nos encontraremos, pero no comeremos.",FUTURO NOSOTROS ENCONTRAR PERO NOSOTROS COMER NO
Tú no estudiarás inglés.,FUTURO TÚ INGLÉS ESTUDIAR NO
Ellos no llegarán tarde.,FUTURO ELLOS TARDE LLEGAR NO
Yo no cocinaré pasta.,FUTURO YO PASTA COCINAR NO
Mi padre no trabajará el domingo.,DOMINGO MI PADRE TRABAJAR NO
Ella no leerá novelas.,FUTURO ELLA NOVELAS LEER NO
"Nos reiremos, pero no mucho.",FUTURO NOSOTROS REÍR PERO MUCHO NO
Mañana no lloverá.,MAÑANA LLUEVE NO
Tú no saldrás.,FUTURO TÚ SALIR NO
Ellos no viajarán lejos.,FUTURO ELLOS LEJOS VIAJAR NO
Yo no estudiaré biología.,FUTURO YO BIOLOGÍA ESTUDIAR NO
Ella no cocinará postres.,FUTURO ELLA POSTRES COCINAR NO
Nosotros no iremos al mercado.,FUTURO NOSOTROS MERCADO IR NO
Tú no limpiarás el coche.,FUTURO TÚ COCHE LIMPIAR NO
Ellos no desayunarán aquí.,FUTURO ELLOS AQUÍ DESAYUNAR NO
Yo no dormiré temprano.,FUTURO YO TEMPRANO DORMIR NO
